message_id,dispatch_id,sent_at,direction,content
msg_00022,dsp_0016,2026-03-06 10:36:46+00:00,outbound,Olá! Temos opções facilitadas para o pagamento do seu débito. Quer saber mais?
msg_00023,dsp_0016,2026-03-06 10:58:46+00:00,inbound,"Beleza, fecha"
msg_00024,dsp_0016,2026-03-06 10:49:46+00:00,outbound,Consigo parcelar em até 12x. Qual valor fica melhor pra você?
msg_00025,dsp_0016,2026-03-06 11:14:46+00:00,inbound,Pode ser
msg_00026,dsp_0017,2026-03-04 14:23:59+00:00,outbound,Oi! Temos uma condição especial para regularizar seu débito. Posso te ajudar?
msg_00027,dsp_0017,2026-03-04 14:27:59+00:00,inbound,To sem condição agora
msg_00028,dsp_0017,2026-03-04 15:11:59+00:00,outbound,Posso verificar condições especiais no seu caso.
msg_00029,dsp_0017,2026-03-04 15:25:59+00:00,inbound,Não tenho interesse
msg_00030,dsp_0019,2026-03-04 12:05:13+00:00,outbound,Olá! Você possui um valor em aberto. Gostaria de negociar?
msg_00031,dsp_0019,2026-03-04 12:10:13+00:00,outbound,Posso verificar condições especiais no seu caso.
msg_00032,dsp_0022,2026-03-06 17:31:57+00:00,outbound,Oi! Estamos entrando em contato sobre uma pendência financeira. Podemos conversar?
msg_00033,dsp_0022,2026-03-06 17:33:57+00:00,inbound,Posso parcelar?
msg_00034,dsp_0022,2026-03-06 17:51:57+00:00,outbound,"Obrigado! Qualquer dúvida, estamos à disposição."
msg_00035,dsp_0023,2026-03-02 10:50:31+00:00,outbound,Olá! Você possui um valor em aberto. Gostaria de negociar?
msg_00036,dsp_0023,2026-03-02 10:38:31+00:00,inbound,To sem condição agora
msg_00037,dsp_0023,2026-03-02 11:11:31+00:00,outbound,Consigo parcelar em até 12x. Qual valor fica melhor pra você?
msg_00038,dsp_0023,2026-03-02 11:08:31+00:00,inbound,Não tenho interesse
msg_00039,dsp_0024,2026-03-07 09:24:40+00:00,outbound,Olá! Você possui um valor em aberto. Gostaria de negociar?
msg_00040,dsp_0025,2026-03-04 17:23:24+00:00,outbound,Oi! Estamos entrando em contato sobre uma pendência financeira. Podemos conversar?
msg_00041,dsp_0025,2026-03-04 17:28:24+00:00,inbound,Quanto que tá?
msg_00042,dsp_0025,2026-03-04 17:28:24+00:00,outbound,Certo! Vou gerar o boleto e enviar por aqui.
msg_00043,dsp_0027,2026-03-06 10:03:56+00:00,outbound,Olá! Temos opções facilitadas para o pagamento do seu débito. Quer saber mais?
msg_00044,dsp_0028,2026-03-07 18:25:07+00:00,outbound,Oi! Temos uma condição especial para regularizar seu débito. Posso te ajudar?
msg_00045,dsp_0028,2026-03-07 18:29:07+00:00,outbound,Consigo parcelar em até 12x. Qual valor fica melhor pra você?
msg_00046,dsp_0029,2026-03-02 15:10:46+00:00,outbound,Oi! Notamos um valor pendente. Posso apresentar condições de pagamento?
msg_00047,dsp_0029,2026-03-02 15:28:46+00:00,inbound,Quanto que tá?
msg_00048,dsp_0029,2026-03-02 15:15:46+00:00,outbound,Consigo parcelar em até 12x. Qual valor fica melhor pra você?
msg_00049,dsp_0029,2026-03-02 15:08:46+00:00,inbound,Em quantas vezes?
msg_00050,dsp_0031,2026-03-03 18:36:38+00:00,outbound,Olá! Identificamos uma pendência no seu cadastro. Podemos conversar?
msg_00051,dsp_0031,2026-03-03 18:48:38+00:00,inbound,Não tenho interesse
msg_00052,dsp_0031,2026-03-03 18:47:38+00:00,outbound,Certo! Vou gerar o boleto e enviar por aqui.
msg_00053,dsp_0031,2026-03-03 19:32:38+00:00,inbound,Pode ser
msg_00054,dsp_0032,2026-03-03 10:38:49+00:00,outbound,Oi! Notamos um valor pendente. Posso apresentar condições de pagamento?
msg_00055,dsp_0032,2026-03-03 10:42:49+00:00,outbound,Posso oferecer desconto de 15% para pagamento à vista. Tem interesse?
msg_00056,dsp_0034,2026-03-07 12:20:03+00:00,outbound,Olá! Identificamos uma pendência no seu cadastro. Podemos conversar?
msg_00057,dsp_0034,2026-03-07 12:21:03+00:00,outbound,"Perfeito, acordo registrado. Você receberá o boleto em instantes."
msg_00058,dsp_0036,2026-03-07 10:10:42+00:00,outbound,Olá! Identificamos uma pendência no seu cadastro. Podemos conversar?
msg_00059,dsp_0036,2026-03-07 10:16:42+00:00,outbound,Posso verificar condições especiais no seu caso.
msg_00060,dsp_0041,2026-03-05 16:29:37+00:00,outbound,Oi! Estamos entrando em contato sobre uma pendência financeira. Podemos conversar?
msg_00061,dsp_0041,2026-03-05 16:30:37+00:00,inbound,Pode ser
msg_00062,dsp_0042,2026-03-01 18:15:14+00:00,outbound,Olá! Temos opções facilitadas para o pagamento do seu débito. Quer saber mais?
msg_00063,dsp_0043,2026-03-07 13:06:32+00:00,outbound,Oi! Estamos entrando em contato sobre uma pendência financeira. Podemos conversar?
msg_00064,dsp_0043,2026-03-07 13:22:32+00:00,inbound,Não tenho como pagar tudo agora
msg_00065,dsp_0043,2026-03-07 13:16:32+00:00,outbound,Certo! Vou gerar o boleto e enviar por aqui.
msg_00066,dsp_0044,2026-03-06 15:20:34+00:00,outbound,Oi! Notamos um valor pendente. Posso apresentar condições de pagamento?
msg_00067,dsp_0045,2026-03-05 17:32:15+00:00,outbound,Olá! Você possui um valor em aberto. Gostaria de negociar?
msg_00068,dsp_0046,2026-03-02 09:11:42+00:00,outbound,Olá! Temos opções facilitadas para o pagamento do seu débito. Quer saber mais?
msg_00069,dsp_0046,2026-03-02 09:20:42+00:00,inbound,Quanto que tá?
msg_00070,dsp_0047,2026-03-04 14:48:55+00:00,outbound,Oi! Temos uma condição especial para regularizar seu débito. Posso te ajudar?
msg_00071,dsp_0047,2026-03-04 14:45:55+00:00,inbound,Pode ser
msg_00072,dsp_0048,2026-03-06 18:10:03+00:00,outbound,Olá! Identificamos uma pendência no seu cadastro. Podemos conversar?
msg_00073,dsp_0050,2026-03-04 10:32:11+00:00,outbound,Oi! Temos uma condição especial para regularizar seu débito. Posso te ajudar?
msg_00074,dsp_0050,2026-03-04 11:03:11+00:00,inbound,Em quantas vezes?
msg_00075,dsp_0050,2026-03-04 10:45:11+00:00,outbound,Consigo parcelar em até 12x. Qual valor fica melhor pra você?
msg_00076,dsp_0051,2026-03-02 09:33:51+00:00,outbound,Olá! Identificamos uma pendência no seu cadastro. Podemos conversar?
msg_00077,dsp_0052,2026-03-06 17:01:00+00:00,outbound,Olá! Temos opções facilitadas para o pagamento do seu débito. Quer saber mais?
msg_00078,dsp_0052,2026-03-06 17:15:00+00:00,inbound,"Oi, qual o valor?"
msg_00079,dsp_0052,2026-03-06 17:11:00+00:00,outbound,Posso verificar condições especiais no seu caso.
msg_00080,dsp_0053,2026-03-02 14:36:30+00:00,outbound,Oi! Notamos um valor pendente. Posso apresentar condições de pagamento?
msg_00081,dsp_0054,2026-03-01 10:41:00+00:00,outbound,Olá! Identificamos uma pendência no seu cadastro. Podemos conversar?
msg_00082,dsp_0054,2026-03-01 10:30:00+00:00,inbound,Aceito
msg_00083,dsp_0054,2026-03-01 11:09:00+00:00,outbound,Posso verificar condições especiais no seu caso.
msg_00084,dsp_0054,2026-03-01 11:32:00+00:00,inbound,Qual o desconto?
msg_00085,dsp_0055,2026-03-07 15:21:27+00:00,outbound,Olá! Temos opções facilitadas para o pagamento do seu débito. Quer saber mais?
msg_00086,dsp_0057,2026-03-06 13:07:03+00:00,outbound,Olá! Identificamos uma pendência no seu cadastro. Podemos conversar?
msg_00087,dsp_0058,2026-03-07 16:25:03+00:00,outbound,Oi! Notamos um valor pendente. Posso apresentar condições de pagamento?
msg_00088,dsp_0058,2026-03-07 16:12:03+00:00,inbound,"Oi, qual o valor?"
msg_00089,dsp_0058,2026-03-07 16:58:03+00:00,outbound,Certo! Vou gerar o boleto e enviar por aqui.
msg_00090,dsp_0059,2026-03-07 10:08:38+00:00,outbound,Oi! Estamos entrando em contato sobre uma pendência financeira. Podemos conversar?
msg_00091,dsp_0059,2026-03-07 10:34:38+00:00,inbound,Quanto que tá?
msg_00092,dsp_0059,2026-03-07 10:13:38+00:00,outbound,Posso verificar condições especiais no seu caso.
msg_00093,dsp_0059,2026-03-07 11:24:38+00:00,inbound,Posso parcelar?
msg_00094,dsp_0063,2026-03-06 13:16:16+00:00,outbound,Olá! Você possui um valor em aberto. Gostaria de negociar?
msg_00095,dsp_0064,2026-03-06 18:32:29+00:00,outbound,Olá! Temos opções facilitadas para o pagamento do seu débito. Quer saber mais?
msg_00096,dsp_0064,2026-03-06 18:53:29+00:00,inbound,Em quantas vezes?
msg_00097,dsp_0064,2026-03-06 19:04:29+00:00,outbound,"Perfeito, acordo registrado. Você receberá o boleto em instantes."
msg_00098,dsp_0065,2026-03-01 15:43:36+00:00,outbound,Oi! Notamos um valor pendente. Posso apresentar condições de pagamento?
msg_00099,dsp_0065,2026-03-01 15:47:36+00:00,inbound,Manda as opções
msg_00100,dsp_0065,2026-03-01 16:33:36+00:00,outbound,"Obrigado! Qualquer dúvida, estamos à disposição."
msg_00101,dsp_0065,2026-03-01 16:07:36+00:00,inbound,"Ok, pode mandar o boleto"
msg_00102,dsp_0066,2026-03-05 11:40:16+00:00,outbound,Oi! Estamos entrando em contato sobre uma pendência financeira. Podemos conversar?
msg_00103,dsp_0066,2026-03-05 11:54:16+00:00,inbound,Aceito
msg_00104,dsp_0066,2026-03-05 12:11:16+00:00,outbound,Certo! Vou gerar o boleto e enviar por aqui.
msg_00105,dsp_0066,2026-03-05 11:48:16+00:00,inbound,Pode ser
msg_00106,dsp_0067,2026-03-01 11:25:18+00:00,outbound,Oi! Notamos um valor pendente. Posso apresentar condições de pagamento?
msg_00107,dsp_0067,2026-03-01 11:28:18+00:00,outbound,Posso verificar condições especiais no seu caso.
msg_00108,dsp_0070,2026-03-03 10:12:06+00:00,outbound,Olá! Identificamos uma pendência no seu cadastro. Podemos conversar?
msg_00109,dsp_0070,2026-03-03 10:02:06+00:00,inbound,Quanto que tá?
msg_00110,dsp_0072,2026-03-06 18:57:16+00:00,outbound,Olá! Identificamos uma pendência no seu cadastro. Podemos conversar?
msg_00111,dsp_0075,2026-03-03 10:52:28+00:00,outbound,Olá! Temos opções facilitadas para o pagamento do seu débito. Quer saber mais?
msg_00112,dsp_0075,2026-03-03 10:51:28+00:00,inbound,Qual o desconto?
msg_00113,dsp_0075,2026-03-03 11:41:28+00:00,outbound,"Perfeito, acordo registrado. Você receberá o boleto em instantes."
msg_00114,dsp_0076,2026-03-01 09:08:56+00:00,outbound,Oi! Estamos entrando em contato sobre uma pendência financeira. Podemos conversar?
msg_00115,dsp_0076,2026-03-01 09:28:56+00:00,inbound,Manda as opções
msg_00116,dsp_0076,2026-03-01 09:46:56+00:00,outbound,"Obrigado! Qualquer dúvida, estamos à disposição."
msg_00117,dsp_0078,2026-03-02 08:29:23+00:00,outbound,Olá! Temos opções facilitadas para o pagamento do seu débito. Quer saber mais?
msg_00118,dsp_0079,2026-03-02 18:27:42+00:00,outbound,Olá! Identificamos uma pendência no seu cadastro. Podemos conversar?
msg_00119,dsp_0079,2026-03-02 18:53:42+00:00,inbound,Não tenho interesse
msg_00120,dsp_0079,2026-03-02 18:36:42+00:00,outbound,Posso oferecer desconto de 15% para pagamento à vista. Tem interesse?
msg_00121,dsp_0080,2026-03-07 16:57:55+00:00,outbound,Olá! Identificamos uma pendência no seu cadastro. Podemos conversar?
msg_00122,dsp_0080,2026-03-07 17:01:55+00:00,outbound,"Perfeito, acordo registrado. Você receberá o boleto em instantes."
msg_00123,dsp_0081,2026-03-06 11:03:59+00:00,outbound,Olá! Você possui um valor em aberto. Gostaria de negociar?
msg_00124,dsp_0081,2026-03-06 11:37:59+00:00,inbound,Não tenho como pagar tudo agora
msg_00125,dsp_0081,2026-03-06 11:41:59+00:00,outbound,"Perfeito, acordo registrado. Você receberá o boleto em instantes."
msg_00126,dsp_0084,2026-03-07 11:37:10+00:00,outbound,Oi! Notamos um valor pendente. Posso apresentar condições de pagamento?
msg_00127,dsp_0090,2026-03-01 09:56:16+00:00,outbound,Oi! Temos uma condição especial para regularizar seu débito. Posso te ajudar?
msg_00128,dsp_0090,2026-03-01 10:01:16+00:00,outbound,"Obrigado! Qualquer dúvida, estamos à disposição."
msg_00129,dsp_0091,2026-03-03 08:08:38+00:00,outbound,Olá! Você possui um valor em aberto. Gostaria de negociar?
msg_00130,dsp_0091,2026-03-03 08:09:38+00:00,outbound,Posso oferecer desconto de 15% para pagamento à vista. Tem interesse?
msg_00131,dsp_0092,2026-03-06 13:46:38+00:00,outbound,Oi! Notamos um valor pendente. Posso apresentar condições de pagamento?
msg_00132,dsp_0092,2026-03-06 13:53:38+00:00,inbound,Quanto que tá?
msg_00133,dsp_0093,2026-03-04 17:13:16+00:00,outbound,Olá! Identificamos uma pendência no seu cadastro. Podemos conversar?
msg_00134,dsp_0093,2026-03-04 17:46:16+00:00,inbound,Não tenho como pagar tudo agora
msg_00135,dsp_0094,2026-03-04 08:47:59+00:00,outbound,Oi! Estamos entrando em contato sobre uma pendência financeira. Podemos conversar?
msg_00136,dsp_0094,2026-03-04 08:55:59+00:00,inbound,Posso parcelar?
msg_00137,dsp_0094,2026-03-04 09:09:59+00:00,outbound,Posso verificar condições especiais no seu caso.
msg_00138,dsp_0094,2026-03-04 09:17:59+00:00,inbound,To sem condição agora
msg_00139,dsp_0095,2026-03-06 18:14:23+00:00,outbound,Oi! Temos uma condição especial para regularizar seu débito. Posso te ajudar?
msg_00140,dsp_0100,2026-03-05 12:45:35+00:00,outbound,Olá! Identificamos uma pendência no seu cadastro. Podemos conversar?
msg_00141,dsp_0100,2026-03-05 12:31:35+00:00,inbound,Em quantas vezes?
msg_00142,dsp_0101,2026-03-03 11:41:50+00:00,outbound,Oi! Estamos entrando em contato sobre uma pendência financeira. Podemos conversar?
msg_00143,dsp_0101,2026-03-03 12:07:50+00:00,inbound,Aceito
msg_00144,dsp_0101,2026-03-03 12:09:50+00:00,outbound,Posso verificar condições especiais no seu caso.
msg_00145,dsp_0101,2026-03-03 11:55:50+00:00,inbound,To sem condição agora
msg_00146,dsp_0103,2026-03-07 10:54:05+00:00,outbound,Oi! Estamos entrando em contato sobre uma pendência financeira. Podemos conversar?
msg_00147,dsp_0104,2026-03-06 18:49:21+00:00,outbound,Oi! Notamos um valor pendente. Posso apresentar condições de pagamento?
msg_00148,dsp_0108,2026-03-04 11:26:41+00:00,outbound,Oi! Notamos um valor pendente. Posso apresentar condições de pagamento?
msg_00149,dsp_0108,2026-03-04 11:29:41+00:00,inbound,"Oi, qual o valor?"
msg_00150,dsp_0108,2026-03-04 11:33:41+00:00,outbound,Certo! Vou gerar o boleto e enviar por aqui.
msg_00151,dsp_0108,2026-03-04 12:29:41+00:00,inbound,"Oi, qual o valor?"
msg_00152,dsp_0109,2026-03-07 14:21:11+00:00,outbound,Olá! Você possui um valor em aberto. Gostaria de negociar?
msg_00153,dsp_0110,2026-03-01 16:16:58+00:00,outbound,Olá! Você possui um valor em aberto. Gostaria de negociar?
msg_00154,dsp_0111,2026-03-02 15:53:33+00:00,outbound,Olá! Identificamos uma pendência no seu cadastro. Podemos conversar?
msg_00155,dsp_0111,2026-03-02 15:44:33+00:00,inbound,Aceito
msg_00156,dsp_0111,2026-03-02 16:24:33+00:00,outbound,Posso oferecer desconto de 15% para pagamento à vista. Tem interesse?
msg_00157,dsp_0112,2026-03-05 16:40:53+00:00,outbound,Olá! Temos opções facilitadas para o pagamento do seu débito. Quer saber mais?
msg_00158,dsp_0112,2026-03-05 16:43:53+00:00,inbound,Não tenho interesse
msg_00159,dsp_0114,2026-03-03 16:34:40+00:00,outbound,Oi! Estamos entrando em contato sobre uma pendência financeira. Podemos conversar?
msg_00160,dsp_0114,2026-03-03 16:35:40+00:00,inbound,"Ok, pode mandar o boleto"
msg_00161,dsp_0114,2026-03-03 16:34:40+00:00,outbound,Certo! Vou gerar o boleto e enviar por aqui.
msg_00162,dsp_0116,2026-03-03 14:08:34+00:00,outbound,Olá! Temos opções facilitadas para o pagamento do seu débito. Quer saber mais?
msg_00163,dsp_0118,2026-03-02 09:30:26+00:00,outbound,Oi! Estamos entrando em contato sobre uma pendência financeira. Podemos conversar?
msg_00164,dsp_0118,2026-03-02 09:34:26+00:00,outbound,"Obrigado! Qualquer dúvida, estamos à disposição."
msg_00165,dsp_0119,2026-03-03 23:03:13+00:00,outbound,Oi! Estamos entrando em contato sobre uma pendência financeira. Podemos conversar?
msg_00166,dsp_0119,2026-03-04 14:05:13+00:00,inbound,Pode ser
msg_00167,dsp_0119,2026-03-04 14:21:13+00:00,outbound,"Perfeito, acordo registrado. Você receberá o boleto em instantes."
msg_00168,dsp_0119,2026-03-04 15:03:13+00:00,inbound,"Beleza, fecha"
msg_00169,dsp_0120,2026-03-07 17:47:01+00:00,outbound,Oi! Estamos entrando em contato sobre uma pendência financeira. Podemos conversar?
msg_00170,dsp_0120,2026-03-07 17:52:01+00:00,inbound,Não tenho como pagar tudo agora
msg_00171,dsp_0120,2026-03-07 18:26:01+00:00,outbound,"Perfeito, acordo registrado. Você receberá o boleto em instantes."
msg_00172,dsp_0123,2026-03-02 12:44:31+00:00,outbound,Olá! Identificamos uma pendência no seu cadastro. Podemos conversar?
msg_00173,dsp_0123,2026-03-02 12:53:31+00:00,inbound,Em quantas vezes?
msg_00174,dsp_0123,2026-03-02 13:00:31+00:00,outbound,Posso oferecer desconto de 15% para pagamento à vista. Tem interesse?
msg_00175,dsp_0123,2026-03-02 13:11:31+00:00,inbound,To sem condição agora
msg_00176,dsp_0128,2026-02-26 18:24:20+00:00,outbound,Oi! Notamos um valor pendente. Posso apresentar condições de pagamento?
msg_00177,dsp_0128,2026-03-01 12:32:20+00:00,inbound,Não tenho interesse
msg_00178,dsp_0132,2026-03-01 18:14:48+00:00,outbound,Olá! Você possui um valor em aberto. Gostaria de negociar?
msg_00179,dsp_0132,2026-03-01 18:12:48+00:00,inbound,Não tenho como pagar tudo agora
msg_00180,dsp_0136,2026-03-05 09:54:52+00:00,outbound,Olá! Você possui um valor em aberto. Gostaria de negociar?
msg_00181,dsp_0137,2026-03-01 17:07:59+00:00,outbound,Olá! Temos opções facilitadas para o pagamento do seu débito. Quer saber mais?
msg_00182,dsp_0137,2026-03-01 17:11:59+00:00,inbound,To sem condição agora
msg_00183,dsp_0139,2026-03-05 18:21:06+00:00,outbound,Oi! Notamos um valor pendente. Posso apresentar condições de pagamento?
msg_00184,dsp_0141,2026-03-05 14:57:23+00:00,outbound,Olá! Temos opções facilitadas para o pagamento do seu débito. Quer saber mais?
msg_00185,dsp_0141,2026-03-05 15:20:23+00:00,inbound,Aceito
msg_00186,dsp_0141,2026-03-05 15:39:23+00:00,outbound,"Obrigado! Qualquer dúvida, estamos à disposição."
msg_00187,dsp_0141,2026-03-05 16:02:23+00:00,inbound,Pode ser
msg_00188,dsp_0143,2026-03-01 14:28:40+00:00,outbound,Oi! Estamos entrando em contato sobre uma pendência financeira. Podemos conversar?
msg_00189,dsp_0143,2026-03-01 14:29:40+00:00,inbound,Aceito
msg_00190,dsp_0143,2026-03-01 15:08:40+00:00,outbound,"Obrigado! Qualquer dúvida, estamos à disposição."
msg_00191,dsp_0144,2026-03-02 14:20:46+00:00,outbound,Olá! Temos opções facilitadas para o pagamento do seu débito. Quer saber mais?
msg_00192,dsp_0144,2026-03-02 14:15:46+00:00,inbound,Pode ser
msg_00193,dsp_0144,2026-03-02 15:02:46+00:00,outbound,Consigo parcelar em até 12x. Qual valor fica melhor pra você?
msg_00194,dsp_0145,2026-03-03 18:06:58+00:00,outbound,Oi! Estamos entrando em contato sobre uma pendência financeira. Podemos conversar?
msg_00195,dsp_0145,2026-03-03 17:55:58+00:00,inbound,"Oi, qual o valor?"
msg_00196,dsp_0145,2026-03-03 18:27:58+00:00,outbound,Posso verificar condições especiais no seu caso.
msg_00197,dsp_0146,2026-03-04 14:55:46+00:00,outbound,Olá! Temos opções facilitadas para o pagamento do seu débito. Quer saber mais?
msg_00198,dsp_0148,2026-03-04 12:03:29+00:00,outbound,Olá! Temos opções facilitadas para o pagamento do seu débito. Quer saber mais?
msg_00199,dsp_0148,2026-03-04 12:24:29+00:00,inbound,To sem condição agora
msg_00200,dsp_0148,2026-03-04 11:54:29+00:00,outbound,Certo! Vou gerar o boleto e enviar por aqui.
msg_00201,dsp_0148,2026-03-04 13:04:29+00:00,inbound,Manda as opções
msg_00202,dsp_0152,2026-03-01 11:48:26+00:00,outbound,Olá! Temos opções facilitadas para o pagamento do seu débito. Quer saber mais?
msg_00203,dsp_0153,2026-03-07 11:48:30+00:00,outbound,Oi! Temos uma condição especial para regularizar seu débito. Posso te ajudar?
msg_00204,dsp_0153,2026-03-07 11:47:30+00:00,outbound,Certo! Vou gerar o boleto e enviar por aqui.
msg_00205,dsp_0155,2026-03-06 11:30:42+00:00,outbound,Oi! Notamos um valor pendente. Posso apresentar condições de pagamento?
msg_00206,dsp_0156,2026-03-05 16:26:27+00:00,outbound,Oi! Notamos um valor pendente. Posso apresentar condições de pagamento?
msg_00207,dsp_0157,2026-03-05 07:17:19+00:00,outbound,Oi! Notamos um valor pendente. Posso apresentar condições de pagamento?
msg_00208,dsp_0157,2026-03-06 15:47:19+00:00,inbound,Aceito
msg_00209,dsp_0159,2026-02-28 11:13:47+00:00,outbound,Olá! Você possui um valor em aberto. Gostaria de negociar?
msg_00210,dsp_0159,2026-03-02 11:39:47+00:00,inbound,"Ok, pode mandar o boleto"
msg_00211,dsp_0162,2026-03-03 09:05:34+00:00,outbound,Olá! Identificamos uma pendência no seu cadastro. Podemos conversar?
msg_00212,dsp_0162,2026-03-03 09:07:34+00:00,inbound,Quanto que tá?
msg_00213,dsp_0162,2026-03-03 09:18:34+00:00,outbound,Consigo parcelar em até 12x. Qual valor fica melhor pra você?
msg_00214,dsp_0163,2026-03-01 08:45:18+00:00,outbound,Olá! Você possui um valor em aberto. Gostaria de negociar?
msg_00215,dsp_0163,2026-03-01 09:15:18+00:00,inbound,Posso parcelar?
msg_00216,dsp_0163,2026-03-01 09:08:18+00:00,outbound,Consigo parcelar em até 12x. Qual valor fica melhor pra você?
msg_00217,dsp_0163,2026-03-01 09:51:18+00:00,inbound,Manda as opções
msg_00218,dsp_0165,2026-03-03 15:42:28+00:00,outbound,Olá! Você possui um valor em aberto. Gostaria de negociar?
msg_00219,dsp_0165,2026-03-03 15:56:28+00:00,inbound,Posso parcelar?
msg_00220,dsp_0166,2026-03-01 13:05:30+00:00,outbound,Olá! Temos opções facilitadas para o pagamento do seu débito. Quer saber mais?
msg_00221,dsp_0167,2026-03-04 15:15:36+00:00,outbound,Oi! Temos uma condição especial para regularizar seu débito. Posso te ajudar?
msg_00222,dsp_0167,2026-03-04 15:38:36+00:00,inbound,Quanto que tá?
msg_00223,dsp_0167,2026-03-04 15:46:36+00:00,outbound,"Perfeito, acordo registrado. Você receberá o boleto em instantes."
msg_00224,dsp_0167,2026-03-04 15:52:36+00:00,inbound,"Oi, qual o valor?"
msg_00225,dsp_0168,2026-03-02 17:29:05+00:00,outbound,Oi! Temos uma condição especial para regularizar seu débito. Posso te ajudar?
msg_00226,dsp_0168,2026-03-02 17:33:05+00:00,inbound,Pode ser
msg_00227,dsp_0168,2026-03-02 18:07:05+00:00,outbound,Posso oferecer desconto de 15% para pagamento à vista. Tem interesse?
msg_00228,dsp_0170,2026-03-04 16:03:28+00:00,outbound,Oi! Temos uma condição especial para regularizar seu débito. Posso te ajudar?
msg_00229,dsp_0170,2026-03-04 16:04:28+00:00,inbound,Em quantas vezes?
msg_00230,dsp_0171,2026-03-04 12:53:39+00:00,outbound,Olá! Temos opções facilitadas para o pagamento do seu débito. Quer saber mais?
msg_00231,dsp_0172,2026-03-06 09:53:13+00:00,outbound,Olá! Você possui um valor em aberto. Gostaria de negociar?
msg_00232,dsp_0173,2026-03-06 09:30:15+00:00,outbound,Oi! Estamos entrando em contato sobre uma pendência financeira. Podemos conversar?
msg_00233,dsp_0173,2026-03-06 09:20:15+00:00,inbound,Posso parcelar?
msg_00234,dsp_0174,2026-03-01 10:20:26+00:00,outbound,Oi! Temos uma condição especial para regularizar seu débito. Posso te ajudar?
msg_00235,dsp_0174,2026-03-01 10:30:26+00:00,inbound,"Oi, qual o valor?"
msg_00236,dsp_0175,2026-03-04 08:18:02+00:00,outbound,Oi! Estamos entrando em contato sobre uma pendência financeira. Podemos conversar?
msg_00237,dsp_0175,2026-03-05 15:58:02+00:00,inbound,Em quantas vezes?
msg_00238,dsp_0175,2026-03-05 16:03:02+00:00,outbound,Posso oferecer desconto de 15% para pagamento à vista. Tem interesse?
msg_00239,dsp_0175,2026-03-05 16:30:02+00:00,inbound,Não tenho como pagar tudo agora
msg_00240,dsp_0176,2026-03-06 13:00:55+00:00,outbound,Oi! Temos uma condição especial para regularizar seu débito. Posso te ajudar?
msg_00241,dsp_0176,2026-03-06 13:08:55+00:00,inbound,Manda as opções
msg_00242,dsp_0176,2026-03-06 13:41:55+00:00,outbound,Certo! Vou gerar o boleto e enviar por aqui.
msg_00243,dsp_0177,2026-03-06 12:09:16+00:00,outbound,Oi! Estamos entrando em contato sobre uma pendência financeira. Podemos conversar?
msg_00244,dsp_0177,2026-03-06 12:33:16+00:00,inbound,Não tenho interesse
msg_00245,dsp_0177,2026-03-06 12:41:16+00:00,outbound,Posso oferecer desconto de 15% para pagamento à vista. Tem interesse?
